name,slug,official_website,instagram_url,ticket_url,main_genres,year,start_date,end_date,venue_name,city,province,region,latitude,longitude,avg_attendance,expected_attendance,attendance_source_url,sales_stage,lifecycle_stage,ticket_status,opportunity_score,data_confidence,notes
Undersea Festival,undersea-festival,https://underseafestival.com,https://instagram.com/undersea_festival,,"urbano,electrónica,remember",2026,2026-06-13,2026-06-13,,Benidorm,Alicante,Comunitat Valenciana,38.5382,-0.131,,8000,https://underseafestival.com,Detectado,Pendiente de validar,Pendiente,53,media,Festival acuático en Terra Mítica; objetivo superar 8.000 asistentes.
Costa Sonora,costa-sonora,https://www.costasonora.es,https://instagram.com/costasonorafest,,"urbano,trap,reggaeton",2027,2027-03-26,2027-03-27,,Alicante,Alicante,Comunitat Valenciana,38.3452,-0.481,,6000,https://www.costasonora.es,Detectado,Pendiente de validar,Pendiente,51,media,Festival urbano de Alicante; miles de asistentes.
Riverland Fest,riverland-fest,https://www.riverlandfest.com,https://instagram.com/riverland.fest,,"urbano,indie,electrónica",2026,2026-08-21,2026-08-23,,Coviella / Arriondas,Asturias,Asturias,43.385,-5.185,,10000,https://www.riverlandfest.com,Detectado,Pendiente de validar,Pendiente,55,media,"Asturias, buses, camping y venta activa."
Aquasella,aquasella,https://aquasella.com,https://instagram.com/aquasellafest,,"techno,electrónica",2026,2026-08-13,2026-08-16,,Arriondas / Cangas de Onís,Asturias,Asturias,43.386,-5.184,,25000,https://aquasella.com,Detectado,Pendiente de validar,Pendiente,70,media,Electrónica en Asturias.
Mad Cool Festival,mad-cool-festival,https://madcoolfestival.es,https://instagram.com/madcoolfestival,,"indie,pop,rock",2026,2026-07-07,2026-07-11,,Madrid,Madrid,Comunidad de Madrid,40.333,-3.689,,82000,https://madcoolfestival.es,Detectado,Pendiente de validar,Pendiente,95,media,Macrofestival prioritario.
Arenal Sound,arenal-sound,https://www.arenalsound.com,https://instagram.com/arenalsound,,"urbano,pop,electrónica",2026,2026-07-28,2026-08-02,,Burriana,Castellón,Comunitat Valenciana,39.8895,-0.078,,60000,https://www.arenalsound.com,Detectado,Pendiente de validar,Pendiente,95,media,Macrofestival playa.
Festival Cruïlla,festival-cruilla,https://www.cruillabarcelona.com,https://instagram.com/festivalcruilla,,"pop,indie,mestizaje",2026,2026-07-08,2026-07-11,,Barcelona,Barcelona,Cataluña,41.411,2.226,,50000,https://www.cruillabarcelona.com,Detectado,Pendiente de validar,Pendiente,95,media,Parc del Fòrum.
Bilbao BBK Live,bilbao-bbk-live,https://bilbaobbklive.com,https://instagram.com/bilbaobbklive,,"indie,rock,electrónica",2026,2026-07-09,2026-07-11,,Bilbao,Bizkaia,País Vasco,43.2596,-2.9639,,44000,https://bilbaobbklive.com,Detectado,Pendiente de validar,Pendiente,89,media,Kobetamendi.
Primavera Sound Barcelona,primavera-sound-barcelona,https://www.primaverasound.com,https://instagram.com/primavera_sound,,"indie,pop,electrónica,urbano",2026,2026-06-03,2026-06-07,,Barcelona,Barcelona,Cataluña,41.411,2.226,,75000,https://www.primaverasound.com,Detectado,Pendiente de validar,Pendiente,95,media,Parc del Fòrum.
Sónar Barcelona,sonar-barcelona,https://sonar.es,https://instagram.com/sonarfestival,,"electrónica,cultura digital",2026,2026-06-18,2026-06-20,,L’Hospitalet de Llobregat,Barcelona,Cataluña,41.3548,2.1283,,45000,https://sonar.es,Detectado,Pendiente de validar,Pendiente,90,media,Electrónica.
